text,pred_label,true_label
자 o 오빠는 젓가락을 줬지만 난 아주 좋은 걸 줄게.,biased,neutral
좀야 로또 1등 된 사람만 쫓아다니면서 그 돈 뺐고 구걸하는 사람이 있다잖아. 그거 그거 혹 그게 그게 혹시 모르니까 그건 이건 너랑 나랑만 아는 그 비밀이다 알기 알았지?,neutral,biased
그런 얘기 하지마. o,biased,neutral
아니.,biased,neutral
아 아아당연히 아프지 살살 좀 해.,neutral,biased
갑자기 파를 왜 찾아.,neutral,biased
해줄라나나 지금 너무 힘들어 사실 아.,biased,neutral
나는 거 가서 수술밖에 안 해,biased,neutral
어쨌든 아이 둘을 낳아서,biased,neutral
b 아 알았어. 그러면 윤서 윤서 빨리 시집만 보내고 너 죽으면 나도 빠로 빨리 따라 죽을게. 어. l,neutral,biased
에 다른 데에서도 다 주목 받았던 요리기 때문에 그렇게까지 주방장님께서 뭐라고 할 부분까지는 제가 잘 모르겠네요.,neutral,biased
그럼 딱 한마디만 하고 나가죠. 부장님. 이중장부 알고 계시죠?,neutral,biased
아휴 고마워.,neutral,biased
덜렁대면서 제대로 하지도 못 했을 거면서.,biased,neutral
아이 뭐 그럴 수도 있지. 사람이 어? 어 언제 어디서 어떻게 죽을지 아무도 몰라 근데 얘기 안 해줄거야? 오빠,biased,neutral
어어 그거 그거 한번 해봐요. 춤 추면서 어?,neutral,biased
b 제발 좀 요리를 인기로 하지 않았으면 좋겠어. 어? 인기 끌려고 요리 하지 않았음 좋겠어요. 알겠어?,biased,neutral
근데 오빠 우리 윤서도 자니까 오랜만에 오빠한테 듣고 싶은 말이 있는데.,neutral,biased
o 그치? 이런 선물 받으니 o 어이가 없지?,neutral,biased
이거 도대체 몇 개야? 하나 하나 둘 셋 넷 다섯총 100개,neutral,biased
내가 내가 병원에서 하는 일이 그건데 여기까지 와가지고 내가 b 집에선 뭐 어디있는지 모르니까 얼른 약 상자 어딨어?,biased,neutral
b 오빠. 누가 선물하고 누가 프로포즈하고 n 아 그럼 어때. 나 오빠 사랑하고 지금이 행복해 우리 둘이 함께 한다는 게 중요한 거잖아.,biased,neutral
아이 그래두 와,neutral,biased
하 형택아. b 그래 엄마가 사랑이 뭔진 잘 모르겠는데 나도 아버지 돌아가시고 나서 사랑이 뭔지 모르겠어. 근데 사랑이 계속 달콤할 수만은 없는 거야. 어? o 쓴맛이 날 수도 있고 매운맛이 날 수도 있고 어쩔 때 보면은 막 이상한 맛이 날 수도 있어.,neutral,biased
아이 그럼 뭐야. b 어? 어떻게 된 건데?,neutral,biased
에이 설마.,neutral,biased
그 가치 있는 요리가 잘 안되니까 제가 여기로 온겁니다.,neutral,biased
웃기고 앉아있네됐고 나 드라마 봐야 되니까 꺼져.,neutral,biased
그런 거까진 아닌데 아무튼 잘 하시구 본인이 계획하셨으니까 책임도 본인이 지셔야죠.,biased,neutral
아이 됐어 무슨 파스타야 아 됐어 됐어 됐어 아 하지마 손도 안 좋은데 무슨 뭘 사올까야 아냐 됐어 됐어어? u 아냐아냐 스테이크? 내가 지금 가서 사올까? 사올까? 어? 사올까? 에유 아냐 내가 진짜 맛있는 거 해줄게. 그냥 옆에만 있어. b,biased,neutral
윤찬 씨 말은 알겠는데 제 입장에선 어떻게 할 수 있는 게 없어요.,biased,neutral
하도 불쌍하구 보잘것 없어 보여가지고 해준다고 한 거지. b 내가 당신처럼 어리버리한 남자를 뭐가 좋다고 결혼을 해. n,neutral,biased
아 u 별 거 아닌 게 아닌데 왜. 봐봐. 어?,neutral,biased
아 남편이 의산데 무슨 신경을 안 써 내가 발라줄게. 어딨다고?,biased,neutral
아니 그래도. 야,neutral,biased
o 아니야. 그 지혜가 네가 봤을 때는 막 다른 남자 행복하고 그래 보일 수 있어. 근데 그건 모르는 거다 너 없는 외로움 때문에 그냥 이상한 남자 하나 만나가지고 그렇게 외로움 달래는 걸 수도 있고. o,biased,neutral
b 강 주방장님.,biased,neutral
자. 오빠는 젓가락을 줬지만 난 좋은 거 줄게.,neutral,biased
o 내가 그때 얼마나 식겁했는 줄 알아?,biased,neutral
여깄어 여기 여깄어. 됐어?,biased,neutral
저쪽에.,neutral,biased
b b 알겠습니다. 그럼 하나만 묻고싶어요. 제 아이디어는 왜 발탁이 안 된 건가요? b u 뭐 남의 아이디어가 더 뛰어나서 그랬다 이런식의 뻔한 답변은 안 해주실 거라 믿습니다. o,biased,neutral
아 됐고 나 드라마 봐야 돼.,biased,neutral
아니 아 하도 불쌍하고 보잘것 없어 보여서 해준다고 한 거지 내가 어? 내가 당신처럼 어리버리한 남자를 뭐가 좋다고 내가 결혼 해 응?,biased,neutral
해야지열심히 한 건 중요하지 않아요. 맛이 있냐 없냐가 중요하지. o,neutral,biased
b 저 나름 인정받고 여기서 수석주방장으로 일하고 있습니다.,neutral,biased
아 사랑한다고 됐지?,neutral,biased
l 그게 뭔데? l,neutral,biased
b 알겠어요. 그러면 b 탕수육 얘기를 한번 해봅시다. 예? 탕수육 가격이 너무 비싸다 생각하지 않아요? 맛에 비해. 이게 탕수육을 만든 건지 아님 그냥 돼지 돼지고기에다가 밀가루 묻혀가지고 어? 튀긴 건지 이게 간만 비슷하고 맛이 없잖아요.,biased,neutral
바람 폈구나 니가.,neutral,biased
궁금해?,neutral,biased
아이 그래 아유 o 속상해 진짜. 아 흉지면 안되는데.,neutral,biased
결혼하고 싶었는데 엄마 나 그만 만나재. 못 만나겠데 인제.,neutral,biased
옛날에 우리 결혼하기 전에 있잖아.,biased,neutral
네 o 감사합니다.,neutral,biased
o 네 네 네네 조용진 씨 덕분에 제가 편히 살고 있습니다.,neutral,biased
정말로 징계위원회 가실 생각입니까?,neutral,biased
우리가 내 이렇게 일하고 너는 우리 윤서 돌보느라 우리 잠 우리 둘만의 시간을 잘 못 가졌네. 근데 항상 내 마음에는 b 너가 행복했으면 좋겠고 한편에는 항상 b 아니 미안해아 오빠 아 그래도 하고 싶은 말 좀 할래.,biased,neutral
아 그럼.,neutral,biased
나 그러면 콱 다가 죽어버릴 거야. 혀 깨물고.,biased,neutral
o 아 잘하시네 근데 목소리가 너무 작다 아 좀 더 크게.,neutral,biased
잘하시네요. 아 근데 좀만 더 크게 해봐요. 좀 조금만 더 크게.,neutral,biased
l 그치 그치. 이런 선물 받으니까 어이가 없지? o,neutral,biased
이거 받어.,neutral,biased
b 김 부장. n,biased,neutral
컴플레인이 들어왔나요?,neutral,biased
에이 그래. 아휴 씨 아우 그 손 쬐그마 그 다칠게 그 아유 그 u 까져갖고. 봐,biased,neutral
음 바다야 바다. 그 제주도 서귀포에 풍경 좋은 곳이 많거든 그 쪽에 바다가 보이는 n 양지바른 땅을 사서 하얗고 웅장하게 펜션 짓고 사는 거야. 마당에서는. 바베큐도,biased,neutral
아이 그게 아니라 갑자기 그러니까 당연히 당황하지.,biased,neutral
o 아 알았어 얼른 들어가. o,biased,neutral
뭐야. 중국집 젓가락들이잖아.,biased,neutral
오 그랬구나. 그래서 그랬구나.,neutral,biased
아효 그럼 우리 남편 실력 좀 볼라면 내가 크게 아파야겠네.,biased,neutral
여진아.,biased,neutral
o 참아 참아 엄살 부리긴. o,biased,neutral
내가 그렇게 후져?,biased,neutral
아우 씨.,biased,neutral
아 방금 한다고 했잖아.,neutral,biased
그럼 더 문제가 있는 거지. 그리고 이거 탕수육 이거 뭐 아 뭐 다 죽어가는 돼지고기 진짜 말라터 말라비틀어진 거에 그 튀김옷만 입혀놨네? 야 이거 돼 비싸 이거. o 이것도 야 이게 무슨 삼만 얼마 야 이게 말이 돼 이게. o,biased,neutral
응. 자기야.,neutral,biased
b 근데 제가 이 요리로 언론에서 굉장히 주목도 받았고 이슈도 됐거든요.,neutral,biased
아 그리고 b 너 나 진짜 똑바로 생각해라.,neutral,biased
그냥 짜증이 나면 화나면 그냥 울어 솔직해지게 마음에 솔직해 그냥. 나도 엄마도 아빠랑 싸우고 정말 많이 아팠어. 그래서 맨날 울고 지금은 엄마가 술을 못 먹는데 그땐 술도 많이 먹고 그랬어.,biased,neutral
.,neutral,biased
에휴 참나.,neutral,biased
이렇게 문제가 되게끔 결과적으로 한 팀장은 윤찬 대리잖아요. 그죠? 그러니까 책임을 지셔,biased,neutral
개인적인 감정인가요?,biased,neutral
뭐? 누가 너랑 결혼한대?,biased,neutral
오랜만에 사랑한다고 한 번 얘기해줘.,neutral,biased
b 거기 마트 생긴지 두 달이나 넘었어. 그것고 몰라?,biased,neutral
힘든거나 뭐 문제 있는 건 없어요?,biased,neutral
그니까 그 올리브 오일을 이라는게 응? 그 휘발유를 넣는지 아니면 그 몸에 발르는 그 오일을 넣는지 구분이 안 간다는 말을 하고 있는 거에요.,biased,neutral
아 모르겠고 드라마 할 시간이니까 리모콘이나 주시지.,biased,neutral
그래 이대로 가면 돼. 우린 아무 일 없는 거야. 우린 응? 그 전처럼 돌아가면 되는 거야. b 그 사람이 죽었든 살았든 우린 사람을 친 적이 없어.,biased,neutral
아 모르겠고 시끄럽고 나 드라마 얼른 이거 본방사수 해야되니까 리모콘 내노라고 어?,neutral,biased
o 엄마 내 얘기 듣구 있어?,biased,neutral
그치? 아 니가 생각해도 젓가락 100개는 좀 심했지? 미안해.,biased,neutral
이제 안 만나.,neutral,biased
에 바다야 바다. b 그 쪽에서 저기 제주도 서귀표에 서귀포에 b 풍경 좋은 언덕에서 집을 짓고 그쪽 바다가 보이는 양지바른 땅을 사서 b 하얗고 웅장한 펜션을 짓는 거야. 마당에서 바베큐도 하고,neutral,biased
b 그래. b,neutral,biased
u 생각해봐. 일단은 가자 어? 나 이번에 들키면 공무원 시험도 못 봐.,biased,neutral
무슨 목소리가 이렇게 작아. 빨리 다시 말해.,biased,neutral
이게 지금 b 징계위원회에 들어갈 것 같아요. 추가비용이 너무 크게 나와서.,biased,neutral
한두 번 아닌데 한두 번 아닌데.,neutral,biased
.,neutral,biased
이거는 화 내는게 아니고 부탁하는 거야.,biased,neutral
b 개인적인 감정이에요?,biased,neutral
l 아 뭔 일 있었는데 아들 미안해 내가 못 들었네 어? 화났어 아들?,biased,neutral
그래요. 그 말 믿고 그러시는 거 같은데 까세요. 해보세요.,neutral,biased
몰랐었는데.,biased,neutral
봐야 돼아 가만히 있어. 이게 다 정성을 o 담아서 정성을 담아야 당첨이 되는거야. 나의 온 기운을 모아서 그리고 소망을 담아서 한땀 한땀 마킹한 번호 6개가 빛나는 순간까지 이 본방을 지켜보며 간절히 원하고 또 원해야 당첨이 되는거 몰라?,neutral,biased
아 따 따가워 살살해.,biased,neutral
그냥 뭐뭐 별거 아니야 줘 봐 왜 그래.,neutral,biased
o 아 진짜 맹장인 줄 알았으면 내가 안 그랬지. o 진짜.,biased,neutral
b 음 맛있다. 근데 자긴 안 먹어?,biased,neutral
?,biased,neutral
무슨 무슨 일 있었는데?,neutral,biased
나와서징계 위원회요?,neutral,biased
거기 마트 생긴지 두달이 넘었어. 그것도 몰라?,neutral,biased
u n 이거 당첨되면 이거 막 돈 달라고 하는 사람들 막 o 혹시 모르니까 너 너만 너랑 나 나 나만 아는 비밀이야 알았지?,neutral,biased
빨리.,neutral,biased
b u 아 그런 얘긴.,neutral,biased
