text,pred_label,true_label
나 아까 선민이도 l/ 안타까워.,0,3
연예인이 혹시 가수나 뭐 l/ 아 저 그 유승은씨 좋아합니다.,0,3
n/ 그래도 아까 그 다혈질 아빠도 심했다 욕은 가족한테 욕은 좀 아니지 않나?,3,2
아니야 조만간 있어 조만간.,3,0
"l/ 근데 좀 신나기는 한 거 같애, 그런 노래 나오면 갑자기.",3,0
그러면은 그거를 되게 싫어하더라.,3,4
아 그런가?,1,3
아 약속을 잡은 상태였어 양쪽 다? b/,3,1
°è´Ü¿¡¼­ ±¼·¶´Ù°í? b/,3,1
"l/ 근데 이제 둘이 되게 통한다고 하더라고, 그 생활하는 거에 있어서는.",3,0
아 없어요?,1,3
하 되게 착하 애였는데 좀.,3,6
으응 l/ 아니 될 수 있지. l/,0,3
"c/ 우리 애들도 애들 그니까 자면은 그렇게 짜증을 내, 꿈속에서 누가 짜증 내나 벼. l/",0,3
인자한 표정으로 내 표정도 그렇게 열심히 보셨다.,3,0
여 연기하는 거 봤어?,3,0
아 그거 아니야?,1,0
c/ 약간 그런 생각하면 너무 우울해.,3,6
아 애호박전 너무 맛있게 생겼었어.,0,3
근데 갑자기 중량 달고 하면서 그거 잡고 막 이렇게 막 해.,3,0
c/ 그래서 안에서 잤지 뭐.,3,0
진짜로 아우 싫어. l/,0,4
내가 너무 싫어하는 김 이사.,3,4
N/ 아 신서유기 재밌지 어.,0,3
"c/ l/ 하하 꼰대네, 응.",3,0
또 계산을 안 해가지고.,3,2
l/ 나는 생일?,0,3
c/ 그래서 엄마가 그래서 엄마가 정신 차려서 딱 그거를 딱 나왔다고 한 얘기가 너무 웃긴 거야.,0,3
그리고 또 따른 거 얘기해봐 재밌는 거.,0,3
l/ 천천히가 제일 어렵지.,0,3
b/ 그만 좀 가르치라고.,3,2
"u/ 걔는 그냥 내가 뭔가를 사줬는데도 별 반응도 없고 그냥 무덤덤하니까 내가 헤어지자 했지, 짜증 나가지고.",3,4
l/ 밀쳐냈거든.,0,3
그러게 이렇게 씁쓸하지. l/,0,3
"c/ 네, n/ 아 너무 목소리가 좋으시더라고요.",0,3
"근데 다시 이제 했는데, 다시 이제 뭐 잘 사귀는가 싶더니만 또 내 친구, 다른 친구 또 내 다른 친구를.",3,2
n/ 스트레스 받아서 하기 싫어.,3,2
그냥 그때 생각났어 갑자기.,3,0
으음 너무 재밌다.,0,3
"무서워 무, 좀 불안해지고 무서웠어.",3,5
윤익이도 골게 생겼어. l/,0,3
l/ 그 나는 너도 있었나 그때?,0,3
l/ 아 진짜로? l/,0,1
u/ 그니까 약간 내가 먼저 인사를 해주고 먼저 이렇게 이렇게 다가와 주고 하면은 자연스럽게 인사도 하고 먼저 막 어떻게 뭐 아는 체도 하고 막 살갑게 대할 텐데 그게 전혀 없으면서 자기한테 그래그래 가진 게 없는데 위세는 부리고 싶은 거지.,3,4
c/ 아 바쁘시구나 많이 l/ 아 바쁘신가 보네요.,0,3
u/ 거기 가면 꼭 먹는 게 떡볶이 막 구멍 나 있는 거랑 그 빙수랑 딱 같이 두 개는 무조건 시켜서 먹는 거 같애.,3,0
아 이 사연들을 보면 참 b/ 별의 별 사람이 다 있구나. l/,0,3
지금 정확히는 기억이 안 나는데 그냥 놀러 놀러 가는 거였는데 그냥 내가 평소에 입던 대로 입었다고 그냥 태클을 걸었더라고 그냥 내가 봤을 때는 그냥 그날 기분이 나빴는데 화풀이 대상이 필요했던 거 같아. b/,3,2
l/ 아 u/ 아 b/ 그니까 나는 b/ 그래.,3,0
c/ 어 그래서 그런 가게들을 갈 때면 맨날 엄마 생각이 되게 자주 났어.,3,0
아 이거는 얘기할 거 많아.,3,0
그러다 방에 들어 가면은 다시 골아.,3,0
근데 하고서 딱 왔는데 u/ 나치고 막 어 막 조크 조크 막 이래가지고 와 진짜 그때.,0,3
"c/ 근데 사 남자애 밥 위에 올려줬는데 아빠가 그걸 보고 화나서 밥상을 화나서 뒤집어엎은 거야 내가, 내가 애기 때.",0,3
군대에서 l/ 뭐 맞고 살았어?,0,3
어어 없지 않아 있어.,3,0
이렇게 이렇게 하지 마?,1,0
이빨 빠진 게?,3,1
b/ 어머니 왜?,1,3
c/ 이런 왜 저런 어 약간 그 이해 못 해서.,3,4
"뭔 제삿밥이냐고 요즘 시대에 제삿밥이냐고, 야 내가 너 너 오죽했으면은 야 나 먼, 너 먼저 죽어라 내가 너 어 납골당에다가 고이고이 모셔둘라니까 이랬다니까.",3,2
또 생각하니까 슬프네.,3,6
아 아 그 잠꼬대하는 선임을?,3,1
