text,pred_label,true_label
사랑을 했다요?,0,1
아니잖아아이 그럼 뭐야. 어떻게 된 거야. 사람은 쳤는데 그 사람이 없어졌다는게.,2,0
내가 지금 가서 짬뽕 만들어 올 테니까 딱 준비하고 있으라고.,0,2
안 안 안 내일 해줄게 내일.,4,0
하여튼 먹는것만. o 어쨌든 아이 둘을 낳아서.,4,0
아어 진작에 그럴 것이지. 얼마 필요한데?,0,4
거기 마트 생긴지 두달이 넘었어. 그것도 몰라?,0,2
주시지아 이거 10분이면 끝나 좀만 기다려. o,0,2
b 이대로 가면 돼. 우린 아무 일도 없는 거야 어? b 우린 그 전처럼 돌아가면 되는 거야. b 그 사람이 죽었든 살았든 우린 사람을 친 적 없어.,0,2
여보 미안해 소리쳐서 미안해 이왕 이렇게 된거 할 수 있는 한 뭐든지 해보자. 일단 수술부터 받자. 어? 요즘 의사들 돌팔이들 많잖 많다잖아. 아 아닐 수도 있어 응? 그리고 6개월이 아니라 6년 아니 60년을 살 수도 있고 그 어서 병원에 가자 어?,3,0
제발 어디 가서 좀 친오빠라고 하지 마. 나한테 오빠는 o BTS 오빠들 뿐이니까. o u,0,4
그래 근데 지금 없어. 죽었는지 살았는지 우리가 친 사람이 없단아 말야.,0,1
알았어아 걱정마. 나 오빠 동생이야. 친동생. o 나 몰라? 나 못 믿어?,4,0
아 뭘 얘기해 됐어 아 씨.,0,2
전 단순하게 그런 말씀 드리는게 아니라 b 뭐 오일을 넣은 걸 제가 몰라서 물어본 게 아니에요 지금. u네 그래서 물어본 게 아니라 오일 양을 좀 생각을 하고 좀 요리를 만드셨으면 하는데.,2,0
아니 글쎄 진짜 씨 김 부장.,0,2
그렇게 힘들어?,3,0
아니 그렇게 자부심이 강해서야.,3,0
아 모르겠고 드라마 할 시간 시간이니까 리모콘이나 좀 주지? n,2,0
o N 그치? 아 이런 선물 받으니 어이가 없지?,3,0
하도 불쌍하구 보잘것 없어 보여가지고 해준다고 한 거지. b 내가 당신처럼 어리버리한 남자를 뭐가 좋다고 결혼을 해. n,0,2
아니 프로젝트 자체가 윤찬 씨가 한 거잖아요. 아끝까지 책임을 지고 비용에 대해선 것도 지금 책임을 주셔야죠.,2,0
빨리.,0,4
아이 그게 아니라 갑자기 그러니까 당연히 당황하지.,1,0
갑자기 파를 왜 찾아.,0,2
당신 죽으면은 내가 살 수 있을 거 같애? 윤서.,4,0
불쌍해아멍멍이 소리 그만하고 보기나 해 어.,2,0
몰라. 몰라 어떡해?,1,0
아 지금 생각할게 할게 뭐가 있어. b 지섭씨는 여기있어. 일단 내가 가서 보고 o 올테니까.,2,0
나만 나만 깨지는 거 같고 b 나만 혼나는 것 같고 나만 차인 거 같고 그냥 그냥 내 그냥 내가 문제 같애 내가 내가 문제 그래 그래서 그래서 그래. n,3,2
그때 나 진짜 세상이 무너지는 줄 알았다니까. o N 어? l 나 모든 걸 다 잃는 줄 알았어.,3,0
등심으로 해줘야 돼.,2,4
왜요? 못하겠어요? 아 이력서에 적힌 거를 우리가 확인하는 건데 b 이 거짓말로 적어놓으셨나 그럼? 아니 그럼 적지를 말던가.,2,0
봐야 돼아 가만히 있어. 이게 다 정성을 o 담아서 정성을 담아야 당첨이 되는거야. 나의 온 기운을 모아서 그리고 소망을 담아서 한땀 한땀 마킹한 번호 6개가 빛나는 순간까지 이 본방을 지켜보며 간절히 원하고 또 원해야 당첨이 되는거 몰라?,0,2
어 없는데.,3,0
o 진짜야.,4,0
l 지금 여기서 춤 추고 노래 하라구요?,2,0
그래 나도 u 천만다행이었어.,4,0
u 아 알았 알겠어 알겠어.,4,0
당신저도 열심히 했어요.,0,2
b 미장원에셔 샴푸하면서 동네 아줌마들이 주는 팁좀 모았지. 으이그 오빠는 돈 걱정 하지마. 내가 먹여살릴게.,0,4
누구 머리라뇨?,1,2
아 뭐라고?,1,4
뭐? l 누가 너랑 결혼 한대?,1,4
그래 뭐 내가 어 다이아몬드나 사파이언 아니어도 나 어디 가서 꿀리는 그런 사람은 아니거든? 어?,0,3
소리야이젠 안 만나.,0,2
b 아 오빠 어떡해 o 어떡해,1,4
n 100일 반지. 으이그 이 무능력한 남자야. 어? 여자가 내가 내가 반지를 준비해야겠어? 오빠가 당연히 준비해야지.,4,2
절대 안 할 거야?,0,4
에이 살짝 슬린 게 아닌데 일로와바.,0,1
오빠가 발라줄래?,0,4
나 u 사랑해?,4,0
괜찮아. 나도 너 나이 땐 그랬어.,3,0
n 아 괜히 운전해서 씨 b,0,2
해야지열심히 한 건 중요하지 않아요. 맛이 있냐 없냐가 중요하지. o,0,2
꺄아아악 오빠 오빠 오빠 어떡해 어떡해.,4,1
울고 싶으면 울어. 오늘 세상에서 제일 슬픈 것도 너고 음? b 엄마 너 마음 알아. o,3,0
내가 인생 바닥으로 떨어지길 바라냐고.,3,2
내가 몰랐네 미안해 엄마가.,3,0
o b 미안해 b 하지만 다음에 만날땐 내가 진짜 꼭 멋진 선물 사줄게. 내가 지금은 비록 중국집 배달부 밖에 안되지만 열심히 일하면 내 제주도 앞바다에 멋진 펜션 짓고 우리도 멋있고 행복하게 살 수 있어,0,3
저를 발전 시키고 싶으니까요.,0,2
n 오빠 누가 선물하고 누가 프로포즈 하면 어때. n 나 오빠 사랑하고 지금이 행복해. 우리 둘이 함께한다는게 중요한 거 잖아.,4,0
사랑한다고.,0,4
하 여보.,4,3
그 가치 있는 요리가 잘 안되니까 제가 여기로 온겁니다.,0,2
그거 또 그런 소릴 또 해. 왜 죽어 자기가?,0,1
아 아니요. 아니요.,0,1
아 됐고 나 드라마 봐야 돼 나와.,0,2
생각했었는데아 당연하지. 누구야? 또 김 부장이야?,1,2
b 아니 뭐 그냥 아 뭐 김 부장 있잖아. 그 씨 김 부장이 오늘도 학 b 오늘도 한마디 하고 뭐라고 하고 맨날.,0,2
참 아니 그렇게 소독해주겠단 사람이 집안 응급 상자는 어딨는지 몰라?,0,4
윤찬 대리. 윤찬 대리가 책임자잖아요 거기. 팀원들을 위해서 윤찬 대리,2,0
희대 씨.,0,2
아 봐봐 봐봐.,0,4
수술하면 되는 거 아니야?,3,0
무슨 소리예요?,0,1
이게 친오빠한테 오지구 지리구가 뭐냐.,0,2
아유씨 요만한 거 가지고 진짜.,0,4
아 안 해.,3,0
"그래 니 말대로 엄마는 지금 사랑이 뭔지도 몰라 근데 b 뭐 사랑이 그렇게 달지만은 않어. 쓴맛도 있고, 단맛도 있고, 다 그런거지 뭐. b",3,0
아니 아이 내 뜻은 그게 아니라 갑자기 물어보니까 당황해서 그렇지.,1,0
아아 아파아파 아파아파,0,1
아우뭘 어떡해.,0,2
아 내가 의산데 하고 살려달라고 살려달라고 그렇게 어,0,4
c 진짜 씨 내가 몇 달 며칠을 o 그냥 고생해서 만든건데 진짜. c,0,2
제가 짬뽕만 가지고 그러는 줄 아세요? o 짬뽕말고 또 있어요. 되게 많은데.,0,2
여기 보이는 거 이거 안 보여요? 기름 둥둥 떠다니는 거.,0,2
듣고 있지 그래서 뭐 누가 그랬다고?,1,0
아이 씨 u 괜히 운전해서.,0,2
얼만큼?,0,4
n .,0,4
"아 친오빠한테 오지구, 지리구가 뭐냐!",0,2
내가 장염인 줄 알았으면 거기다 내팽겨치고 왔어요 진짜.,2,0
아니 그래도 그런 얘기는 좀,2,0
o 아 제발 뭐 어디가서 친오빠라고 하지마. 나한테 오빠는 우리 BTS 오빠들밖에 없어. n,0,4
예? 어째서.,1,0
아니 부장님이 이게 그렇게까지 커질 일도 아니구 저 부장님 한번만 이렇게.,0,1
아싸 다섯개 다섯개 n 야 씨 야 미쳤다 야 어떡해 어떡해 어떡해 어떡해 야 야 이거 큰일났어,1,4
응?,0,4
근데 이거 뭔지 아세요?,0,2
어때? 나 오빠 여잔데 내가 부끄러?,0,4
갑자기 아버지 이야긴 왜 꺼내.,3,2
제가 뭐 다 증빙지 있거든요 영수증도 있고 예예아 네 알겠으니까 네네 알겠으니까 o 그 징계위원회에서 말씀드리라고요.,1,0
아 모르겠고 드라마 할 시간이니까 리모콘이나 주시지?,2,0
한두 번 아닌데 한두 번 아닌데.,0,2
낳아서에이 무슨 셋은 낳아야지.,4,0
아이 씨 하여튼 먹는 거만. 어쨌든 아이 둘을 낳아가지고.,4,0
신고하자아 잠깐만 n 잠깐만 기다려봐 그 그니까 으 좀 새 생각을 해보자구.,0,1
아니 그냥 뭐 언론에 많이 알려진 대로 적당히 o 제가 하는대로.,2,0
에? 아니요 없습니다.,1,0
대신 프로포즈는 내가 먼저 했으니까 결혼식은 정말 멋있게 해줘야 돼? 알겠지?,4,0
l .,4,0
아니 그게 아니라 갑자기 그러니까 당연히 당황하지.,1,4
에이 어아들만 힘들겠 지연이도 힘들겠지. 그니까아니야 밥이나 먹어. 밥 먹고 다시 기운 내보자 아들.,3,0
잠시만요. b 알겠습니다. b 그럼 저도 b 음 그 징계위원회가 열릴 때 해야될 말을 좀 해야될 거 같습니다. 잠시만 이거 뭔지 아시죠? 전무님하고 부장님이 저한테 이 프로젝트 맡겼을 때 했던 말들.,0,2
뭐? 누가 너랑 결혼한대? o,0,1
어어 그거 그거 한번 해봐요. 춤 추면서 어?,0,4
아이구 몰라.,1,4
b 저 나름 인정받고 여기서 수석주방장으로 일하고 있습니다.,0,2
하 진짜 이러고 있을 때가 아니지 전무님 지금 어디세요? 네. 아 지금 진짜 급해요 윤찬대리가 이중장부에 대해서 다 알고 있어서요. 어떡하죠?,0,1
아이 무슨 사랑한대 당연히 사랑하는 건 하는 건데 그렇다고 무슨 또 이 오밤중에,4,0
지섭씨나 공무원 못 되면 우리 결혼도 못해 그찮아? 그냥 가자 응?,0,2
그럼 당연하지. 한 번 얘기해 봐.,0,4
그래.,3,0
네. 많죠.,0,2
아 뭐 어떤?,0,1
알았어.,0,4
수술하면 되는 거잖아.,0,2
그렇지아이 지금 파가 중요한 게 아니잖아. 어?,0,2
어 앉아. 앉아. 어디 가. 왜다시 말해 봐. 지금 나 못 들었어.,4,0
이거 누구 머리에서 나온 거예요?,0,2
아 네. o 그게 제가 아까 말씀드린 그 안건이고요.,1,0
아 뭐 그런 얘기를 하고 그러냐.,2,1
넘어가자 o 넘어가 피곤해 아휴.,0,4
b o 한 번 해보죠.,0,2
아 b 야 맞어맞어 맞어 야 l 고라니였나 보다 그치? 어? 고라니였어 너랑 나랑 술을 마셔서 고라니를 사람으로 착각한거야. 맞지?,4,0
o 내가 그렇게 못 났어?,3,0
그러셨어요?,0,4
b 아 됐어.,3,2
갑자기 아버지 이야긴 왜 꺼내?,3,1
문제 없다고 생각하니까 기본이 안됐다는 거에요. b,0,2
난 그때 아주 철렁했거든.,0,2
얼마나 살 수 있대?,3,1
아 맛있다. 근데 자기 안 먹어?,4,0
이제 안 만나.,0,2
어우 진짜. l,3,4
엄마는 엄마는 옛날시대면은 그냥 한 남자만 바라보고 그런 시대에 살았으니까 당연히 그렇게 얘기할 수도 있겠지. b 근데 난 아니라고.,3,2
아 아. o,0,1
어? 아다쳤어 으으으 별거 아니야.,1,0
어떡해야 뭘 어떡해. 야 이왕 이렇게 된 거 u 확실하게 해야지. o,0,2
